Capstone Project Data Dictionary,,
"This document contains the pertinent details to the variables and datapoints within the code for this project. It will define the variable name, the datatype, and notes on the variable. Variables are listed in the order they first appear within the designated script. ",,
,,
Variable,Data Type,Notes
Located in all scripts except Discovery.ipynb,,
cwd,string,Loaded with the current working driectory the script is located
Discovery.ipynb,,
accidents,dataframe,Loaded with US_Accidents_March23.csv downloaded from Kaggle.com
0LegalizationDataPull.py,,
urlLegality,any,"Loaded with the URL for the Wikipedia page titled ""Legality of cannabis by U.S. jurisdiction"""
urlStates,any,"Loaded with the URL for the Wikipedia page titled ""List_of_US_states_by_minimum_wage"""
legalityTables,list[dataframe],"Loaded with tables scraped from Wikipedia page titled ""Legality of cannabis by U.S. jurisdiction"""
statesTables,list[dataframe],"Loaded with tables scraped from Wikipedia page titled ""List_of_US_states_by_minimum_wage"""
legality,dataframe,Loaded with the table of legalization status of marijuana within US jurisdictions
states,dataframe,Loaded with the table of minimum wage for each of the 50 US states and Washington D.C.
dfLegality,dataframe,Loaded Legality table into pandas dataframe
dfStates,dataframe,Loaded States table into pandas dataframe
dfMerged,dataframe,Loaded with dataframe created by joining dfLegality and dfStates
1Cleaning.py,,
dfLegalization,pandas dataframe,Loaded with the Legalization.csv file created from 0LegalizationDataPull.py
legalDate,list,List of the entries in the column named 'Legalization Date' from Legalization.csv
legalCleaned,list,"Starts as an empty variable and is loaded with legalization date (format Month dd, yyyy) of linked state or Illegal, depending on state's legalization status"
legalParsed,list,"Starts as an empty variable and is loaded with legalization date (format mm/dd/yyyy) of linked state or illegal, depending on state's legalization status"
saleDate,list,List of the entries in the column named 'Sale Date' from Legalization.csv
saleCleaned,list,"Starts as an empty variable and is loaded with first legal date for marijuana sale (format Month dd, yyyy) or Illegal, Never authorized, or Not yet started depending on state's legalization status"
saleParsed,list,"Starts as an empty variable and is loaded with first legal date for marijuana sale (format mm/dd/yyyy) or Illegal, Never authorized, or Not yet started depending on state's legalization status"
stateAbbr,list,Starts as an empty variable and is loaded with the abbreviations of each state in the order state's are listed in the 'State' column of dfLegalization.
stateToAbbr,dictionary,Loaded with a list of all 50 states as the key and the abbreviation for each state as the value
dfAccidents,pandas dataframe,Loaded with the US_Accidents_March23.csv file downloaded from Kaggle.com
timeParsed,list,Starts as an empty variable and is loaded with parsed time data (format hh:mm)
dateParsed,list,Starts as an empty variable and is loaded with parsed date data (format mm/dd/yyyy)
entry,any,A temporary variable used in 'for loops' for storing iterated data
parsedEntry,datetime,A temporary variable used in 'for loops' for storing parsed iterated datetime data
index,integer,A temporary variable used in 'for loops' for storing index value
abbr,list,A temporary variable used in 'for loops' for storing iterated data
dfFinal,pandas dataframe,Loaded with the data after cleaned by 1Cleaning.py script and exported as AccidentsFinal.csv
2Analysis.ipynb,,
dfAcc,dataframe,Loaded with AccidentsFinal.csv which was generated from running 1Cleaning.py
accidentsPerStateTotalGraphData,dictionary,Loaded with a list of abbreviated state names as the key and total accidents as the value
accidentsPerStateTotalXAxis,list,Loaded with the keys from accidentsPerStateTotalGraphData
accidentsPerStateTotalYAxis,list,Loaded with the values from accidentsPerStateTotalGraphData
fig,figure,Loading the figure for graph
dfFilteredDay,dataframe,Loaded with data from dfAcc where Day/Night column == Day
dfFilteredNight,dataframe,Loaded with data from dfAcc where Day/Night column == Night
accidentsPerStateSunGraphDataDay,dictionary,Loaded with list of abbreviated state names as the keys and total accidents where Day/Night column == Day as values
accidentsPerStateSunGraphDataNight,dictionary,Loaded with list of abbreviated state names as the keys and total accidents where Day/Night column == Night as values
barWidth,float,Loaded with defined value for width of bars
space,float,Loaded with defined value for space between bars
br1,ndarray,Defines location of bar on graph
br2,ndarray,Defines location of second bar on graph
dfFilteredLegalAZ,dataframe,Loaded with dfAcc filtered to only rows with AZ in the state column
dfFilteredLegalIL,dataframe,Loaded with dfAcc filtered to only rows with IL in the state column
dfFilteredILPre,dataframe,Loaded with IL filtered dfAcc filtered to only rows with a date before 1/1/2020 in the Date column
dfFilteredILPost,dataframe,Loaded with IL filtered dfAcc filtered to only rows with a date equal to or after 1/1/2020 in the Date column
dfFilteredAZPre,dataframe,Loaded with AZ filtered dfAcc filtered to only rows with a date before 11/30/2020 in the Date column
